0,1,2,3,4,5,6,7
Sample,Artefact,Composition (wt% ± std),,,,,
,,Cu,Sn,Pb,As,Fe,Zn
P.N. 34,Wire,96 ± 0.6,3.2 ± 0.4,0.2 ± 0.03,n.d,0.6 ± 0.1,n.d
P.N. 35,"Scrap metal/
thin mass",95.9 ± 0.5,3.8 ± 0.4,n.d,n.d,0.3 ± 0.05,n.d
P.N. 36,Needle,94 ± 0.6,5.2 ± 0.5,0.1 ± 0.03,n.d,0.7 ± 0.1,n.d
P.N. 37,Needle/pin,93 ± 0.5,6.1 ± 0.4,n.d,0.05 ± 0.01,0.6 ± 0.1,n.d
P.N. 39,"Scrap metal/ 
thin mass",93.6 ± 0.4,5.3 ± 0.2,0.4 ± 0.03,0.04 ± 0.01,0.6 ± 0.1,n.d
P.N. 40,"Scrap metal/
thin mass",89.9 ± 0.8,9.5 ± 0.6,n.d,0.1 ± 0.03,0.5 ± 0.1,n.d
P.N. 41,"Scrap metal/
sheet",98 ± 0.3,1.5 ± 0.2,n.d,n.d,0.5 ± 0.1,n.d
P.N. 42,"Scrap metal/
thin mass",94.7 ± 0.6,5 ± 0.3,n.d,0.1 ± 0.2,0.2 ± 0.04,n.d
P.N. 44,"Scrap metal/
thin mass",85.6 ± 0.7,13.8 ± 0.5,0.05 ± 0.01,0.2 ± 0.03,0.4 ± 0.1,n.d
P.N. 45,Attachment,96 ± 0.3,3.6 ± 0.2,0.05 ± 0.01,n.d,0.3 ± 0.04,n.d
P.N. 118,"Scrap metal/
thin mass",85.6 ± 0.7,13.3 ± 0.6,n.d,0.2 ± 0.03,0.5 ± 0.04,0.4 ± 0.03
P.N. 121,Bull figurine,87.4 ± 0.9,11.3 ± 0.7,0.06 ± 0.01,0.2 ± 0.02,0.6 ± 0.1,0.4 ± 0.03
P.N. 122,"Scrap metal/
sheet",92.9 ± 0.4,6.4 ± 0.3,n.d,0.2 ± 0.02,0.3 ± 0.04,0.2 ± 0.02
P.N. 123,"Scrap metal/
sheet",86.9 ± 0.6,12.6 ± 0.5,n.d,0.1 ± 0.02,0.2 ± 0.02,0.2 ± 0.03
P.N. 124,Needle,88.1 ± 0.7,10.1 ± 0.4,0.1 ± 0.02,0.2 ± 0.03,1.5 ± 0.2,n.d
P.N. 125,"Scrap metal/
thin mass",93.9 ± 0.3,5.2 ± 0.2,0.05 ± 0.01,0.5 ± 0.04,0.3 ± 0.02,n.d
P.N. 126,Needle,88.5 ± 0.9,10.5 ± 0.6,n.d,0.05 ± 0.01,0.9 ± 0.2,n.d
P.N. 127.1,Bracelet,93.5 ± 0.5,6.3 ± 0.4,n.d,n.d,0.2 ± 0.03,n.d
P.N. 127.2,Pendant,88.7 ± 1,7.7 ± 0.4,1 ± 0.2,0.05 ± 0.01,2.5 ± 0.3,n.d
P.N. 127.3,Earring,95.2 ± 0.3,4.5 ± 0.2,n.d,n.d,0.3 ± 0.03,n.d
P.N. 127.4,Spearhead,94.3 ± 0.7,5.2 ± 0.6,0.05 ± 0.01,0.3 ± 0.04,0.15 ± 0.02,n.d
P.N. 127.5,"Handle of a 
lid",97.5 ± 0.5,2.3 ± 0.4,n.d,0.05 ± 0.01,0.1 ± 0.03,n.d
P.N. 127.6,"Scrap metal/
thin mass",91.4 ± 0.8,8.2 ± 0.5,n.d,0.1 ± 0.2,0.3 ± 0.04,n.d
P.N. 127.7,Scrap metal,73 ± 1.1,5.9 ± 0.4,19.9 ± 0.6,n.d,1.2 ± 0.1,n.d
P.N. 127.8,"Scrap metal/
sheet",94 ± 0.6,5.4 ± 0.5,n.d,0.08 ± 0.02,0.5 ± 0.04,n.d
P.N. 127.9,Tool/drill(?),96.4 ± 0.4,3.2 ± 0.3,n.d,n.d,0.2 ± 0.03,n.d
P.N. 127.10,"Scrap metal/
lump",98.7 ± 0.3,0.5 ± 0.1,n.d,0.2 ± 0.03,0.5 ± 0.1,0.1 ± 0.02
P.N. 127.11,"Scrap metal/
droplet",95.2 ± 0.4,4.1 ± 0.2,n.d,n.d,0.5 ± 0.1,0.2 ± 0.03
P.N. 127.12,"Scrap metal/
droplet",97.1 ± 0.5,2 ± 0.3,n.d,0.1 ± 0.02,0.5 ± 0.1,0.2 ± 0.02
P.N. 127.13,"Scrap metal/
sheet",98.7 ± 0.03,0.5 ± 0.1,n.d,0.1 ± 0.02,0.5 ± 0.1,0.2 ± 0.02
P.N. 127.14,Fibula(?),95.9 ± 0.4,3.8 ± 0.3,n.d,0.05 ± 0.01,0.2 ± 0.03,n.d
"P
.Ν. 127.15",Needle,97.3 ± 0.3,2.3 ± 0.2,n.d,0.05 ± 0.01,0.3 ± 0.04,n.d
