0,1,2,3,4,5,6,7
P.N. 127.16,Earring(?),97.2 ± 0.3,2.5 ± 0.2,n.d,n.d,0.2 ± 0.02,n.d
P.N. 127.17,Needle,97.1 ± 0.4,2.6 ± 0.3,n.d,0.05 ± 0.01,0.2 ± 0.03,n.d
P.N. 127.18,"Scrap metal/
thin mass",94.3 ± 0.4,5 ± 0.3,0.25 ± 0.02,0.05 ± 0.01,0.2 ± 0.03,0.2 ± 0.03
P.N. 127.19,Spearhead,96.4 ± 0.3,3.3 ± 0.2,n.d,0.05 ± 0.01,0.2 ± 0.04,n.d
P.N. 127.20,Nail(?),98.9 ± 0.3,n.d,n.d,0.1 ± 0.02,0.9 ± 0.2,0.1 ± 0.02
P.N. 127.21,"Handle(?) 
(fragment)",94.1 ± 0.6,5.4 ± 0.5,n.d,0.1 ± 0.02,0.35 ± 0.05,n.d
P.N. 127.22,Needle/pin(?),97.2 ± 0.4,2.5 ± 0.3,n.d,0.05 ± 0.01,0.2 ± 0.03,n.d
P.N. 127.23,Tool(?),91.1 ± 0.5,5.3 ± 0.2,3.2 ± 0.2,0.1 ± 0.02,0.3 ± 0.04,n.d
P.N. 127.24,"Scrap metal/ 
lump",95.2 ± 0.3,4.2 ± 0.2,0.25 ± 0.03,n.d,0.3 ± 0.03,n.d
P.N. 127.25,"Handle of 
miniature 
oxhide 
ingot(?)",95.6 ± 0.5,3.8 ± 0.4,n.d,0.1 ± 0.01,0.2 ± 0.04,0.25 ± 0.03
P.N. 127.26,"Handle of 
miniature 
oxhide 
ingot(?)",98 ± 0.2,1.2 ± 0.1,0.2 ± 0.02,0.05 ± 0.01,0.3 ± 0.05,0.2 ± 0.02
P.N. 127.27,"Scrap metal/
thin mass",98.4 ± 0.3,n.d,0.05 ± 0.01,0.45 ± 0.1,1.1 ± 0.1,n.d
P.N. 127.28,"Scrap metal/
thin mass",96 ± 0.3,3.5 ± 0.2,n.d,0.05 ± 0.01,0.4 ± 0.05,n.d
P.N. 127.29,"Scrap metal/
thin mass",96 ± 0.3,3.6 ± 0.2,n.d,0.05 ± 0.01,0.3 ± 0.04,n.d
P.N. 127.30,"Scrap metal/
thin mass",89.6 ± 0.6,9.7 ± 0.5,n.d,0.05 ± 0.01,0.5 ± 0.07,0.1 ± 0.02
"P.N. 
127.31A",Scrap metal,95.8 ± 0.3,3.4 ± 0.2,n.d,0.1 ± 0.02,0.7 ± 0.1,n.d
P.N. 127.31B,"Scrap metal/
sheet",95.7 ± 0.4,3.9 ± 0.3,n.d,0.08 ± 0.01,0.3 ± 0.03,n.d
"P.N. 
127.31C",Scrap metal,97 ± 0.3,2.3 ± 0.2,0.2 ± 0.02,0.1 ± 0.02,0.4 ± 0.03,n.d
"P.N. 
127.31D",Scrap metal,95.5 ± 0.4,4.1 ± 0.3,n.d,0.05 ± 0.01,0.3 ± 0.04,n.d
"P.N. 
127.32A","Scrap metal/
sheet",96.5 ± 0.5,3 ± 0.4,n.d,0.05 ± 0.01,0.4 ± 0.04,n.d
P.N. 127.32B,"Scrap metal/
sheet",94.3 ± 0.7,4.9 ± 0.5,0.05 ± 0.01,0.2 ± 0.02,0.5 ± 0.1,n.d
"P.N. 
127.32C","Scrap metal/ 
sheet",97.2 ± 0.5,2 ± 0.3,0.1 ± 0.03,0.1 ± 0.02,0.6 ± 0.1,n.d
P.N. 128.1,Wire,93.1 ± 0.4,6.5 ± 0.3,n.d,0.08 ± 0.01,0.3 ± 0.04,n.d
P.N. 128.2A,"Scrap metal/ 
sheet",88.5 ± 0.7,11.1 ± 0.6,0.05 ± 0.01,0.1 ± 0.02,0.2 ± 0.05,n.d
P.N. 128.2B,"Scrap metal/ 
sheet",87.1 ± 0.6,12.7 ± 0.5,n.d,0.1 ± 0.03,0.1 ± 0.01,n.d
P.N. 128.3,Pin/needle(?),84.5 ± 0.7,14.9 ± 0.5,n.d,0.1 ± 0.02,0.5 ± 0.1,n.d
P.N. 128.4A,Dagger,81.5 ± 0.8,16.8 ± 0.5,1.3 ± 0.2,0.3 ± 0.05,0.08 ± 0.02,n.d
P.N. 128.4B,"Scrap metal/
sheet",93.2 ± 0.5,6.2 ± 0.4,0.3 ± 0.04,0.05 ± 0.01,0.2 ± 0.03,n.d
P.N. 128.5,Needle,88.9 ± 0.5,10.7 ± 0.4,n.d,0.05 ± 0.01,0.3 ± 0.04,n.d
